Time [s],Servo [rad],Table angle [rad]
0.641,-0.03490555555555556,-0.013748196060321405
0.649,-0.03490555555555556,-0.018767187900755378
0.657,-0.03490555555555556,-0.012744397692234788
0.665,-0.03490555555555556,-0.020774784636929056
0.673,-0.03490555555555556,-0.0167595911645817
0.681,-0.03490555555555556,-0.021778583005015673
0.689,-0.03490555555555556,-0.011740599324147727
0.697,-0.03490555555555556,-0.018767187900755378
0.706,-0.03490555555555556,-0.011740599324147727
0.714,-0.03490555555555556,-0.018767187900755378
0.721,-0.03490555555555556,-0.01073680095606111
0.73,-0.03490555555555556,-0.015755792796495083
0.737,-0.03490555555555556,-0.011740599324147727
0.745,-0.03490555555555556,-0.018767187900755378
0.753,-0.03490555555555556,-0.007725405851800815
0.761,-0.03490555555555556,-0.018767187900755378
0.77,-0.03490555555555556,-0.01073680095606111
0.777,-0.03490555555555556,-0.0167595911645817
0.785,-0.03490555555555556,-0.01776338953266876
0.793,-0.03490555555555556,-0.0167595911645817
0.802,-0.03490555555555556,-0.015755792796495083
0.809,-0.03490555555555556,-0.021778583005015673
0.817,-0.03490555555555556,-0.0167595911645817
0.826,-0.03490555555555556,-0.018767187900755378
0.834,-0.03490555555555556,-0.015755792796495083
0.842,-0.03490555555555556,-0.01776338953266876
0.85,-0.03490555555555556,-0.0167595911645817
0.858,-0.03490555555555556,-0.02378617974118935
0.866,-0.03490555555555556,-0.01977098626884244
0.874,-0.03490555555555556,-0.013748196060321405
0.883,-0.03490555555555556,-0.0167595911645817
0.89,-0.03490555555555556,-0.020774784636929056
0.899,-0.03490555555555556,-0.01073680095606111
0.907,-0.03490555555555556,-0.021778583005015673
0.914,-0.03490555555555556,-0.01073680095606111
0.923,-0.03490555555555556,-0.015755792796495083
0.931,-0.03490555555555556,-0.008729204219887432
0.939,-0.03490555555555556,-0.021778583005015673
0.946,-0.03490555555555556,-0.01776338953266876
0.955,-0.03490555555555556,-0.0167595911645817
0.963,-0.03490555555555556,-0.011740599324147727
0.972,-0.03490555555555556,-0.012744397692234788
0.98,-0.03490555555555556,-0.01977098626884244
0.988,-0.03490555555555556,-0.0167595911645817
0.995,-0.03490555555555556,-0.0167595911645817
1.004,0.6806583333333334,-0.006721607483713754
1.012,0.6806583333333334,-0.01977098626884244
1.02,0.6806583333333334,-0.012744397692234788
1.027,0.6806583333333334,-0.01776338953266876
1.036,0.6806583333333334,-0.008729204219887432
1.044,0.6806583333333334,-0.01977098626884244
1.052,0.6806583333333334,-0.018767187900755378
1.06,0.6806583333333334,-0.009733002587974493
1.068,0.6806583333333334,-0.014751994428408466
1.076,0.6806583333333334,-0.01073680095606111
1.084,0.6806583333333334,0.00532397293332787
1.092,0.6806583333333334,-0.003710212379453459
1.1,0.6806583333333334,0.009339166405674781
1.107,0.6806583333333334,0.0063277713014144865
1.115,0.6806583333333334,0.02539994029506376
1.124,0.6806583333333334,0.0243961419269767
1.132,0.6806583333333334,0.04045691581636568
1.139,0.6806583333333334,0.04246451255253936
1.147,0.6806583333333334,0.03945311744827906
1.156,0.6806583333333334,0.038449319080192
1.164,0.6806583333333334,0.05350629460149392
1.172,0.6806583333333334,0.056517689705754215
1.18,0.6806583333333334,0.06254047991427525
1.188,0.6806583333333334,0.0725784635951432
1.195,0.6806583333333334,0.06856327012279584
1.204,0.6806583333333334,0.06755947175470922
1.212,0.6806583333333334,0.08863923748453217
1.22,0.6806583333333334,0.09165063258879247
1.228,0.6806583333333334,0.10470001137392071
1.236,0.6806583333333334,0.09968101953348674
1.244,0.6806583333333334,0.11975698689522263
1.252,0.6806583333333334,0.12276838199948337
1.26,0.6806583333333334,0.12276838199948337
1.268,0.6806583333333334,0.1247759787356566
1.276,0.6806583333333334,0.13782535752078529
1.284,0.6806583333333334,0.13782535752078529
1.292,0.6806583333333334,0.14886713956973985
1.3,0.6806583333333334,0.14485194609739294
1.308,0.6806583333333334,0.15689752651443412
1.316,0.6806583333333334,0.16091271998678147
1.324,0.6806583333333334,0.16292031672295515
1.332,0.6806583333333334,0.16292031672295515
1.34,0.6806583333333334,0.1729583004038231
1.348,0.6806583333333334,0.16492791345912883
1.356,0.6806583333333334,0.16793930856338912
1.364,0.6806583333333334,0.16894310693147574
1.372,0.6806583333333334,0.17697349387617045
1.38,0.6806583333333334,0.16292031672295515
1.388,0.6806583333333334,0.16793930856338912
1.396,0.6806583333333334,0.16593171182721544
1.404,0.6806583333333334,0.1699469052995628
1.412,0.6806583333333334,0.1619165183548681
1.42,0.6806583333333334,0.16793930856338912
1.428,0.6806583333333334,0.16392411509104177
1.436,0.6806583333333334,0.17496589713999677
1.444,0.6806583333333334,0.16793930856338912
1.452,0.6806583333333334,0.17797729224425707
1.46,0.6806583333333334,0.16392411509104177
1.468,0.6806583333333334,0.16593171182721544
1.476,0.6806583333333334,0.16292031672295515
1.484,0.6806583333333334,0.1699469052995628
1.492,0.6806583333333334,0.16392411509104177
1.5,0.6806583333333334,0.16593171182721544
1.508,0.6806583333333334,0.1669355101953025
1.516,0.6806583333333334,0.17095070366764942
1.524,0.6806583333333334,0.17095070366764942
1.532,0.6806583333333334,0.17095070366764942
1.54,0.6806583333333334,0.17195450203573648
1.547,0.6806583333333334,0.16492791345912883
1.556,0.6806583333333334,0.16392411509104177
1.564,0.6806583333333334,0.1699469052995628
1.572,0.6806583333333334,0.1619165183548681
1.58,0.6806583333333334,0.16091271998678147
1.588,0.6806583333333334,0.1699469052995628
1.596,0.6806583333333334,0.16793930856338912
1.604,0.6806583333333334,0.16894310693147574
1.612,0.6806583333333334,0.1699469052995628
1.62,0.6806583333333334,0.16292031672295515
1.628,0.6806583333333334,0.17095070366764942
1.636,0.6806583333333334,0.1669355101953025
1.643,0.6806583333333334,0.16392411509104177
1.652,0.6806583333333334,0.1729583004038231
1.66,0.6806583333333334,0.16392411509104177
1.668,0.6806583333333334,0.17195450203573648
1.676,0.6806583333333334,0.16593171182721544
1.684,0.6806583333333334,0.1699469052995628
1.692,0.6806583333333334,0.1669355101953025
1.7,0.6806583333333334,0.1729583004038231
1.708,0.6806583333333334,0.16492791345912883
1.716,0.6806583333333334,0.1699469052995628
